"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","413","test_get_predictions_by_valid_label","tests","Thu Sep 04 08:09:26 UTC 2025","broken","Thu Sep 04 08:09:26 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","468","test_get_predictions_by_invalid_label","tests","Thu Sep 04 08:09:25 UTC 2025","broken","Thu Sep 04 08:09:26 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","15","test_get_prediction_image_success_png","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","135","test_get_predictions_by_high_score","tests","Thu Sep 04 08:09:26 UTC 2025","failed","Thu Sep 04 08:09:27 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","19","test_get_prediction_image_file_not_found","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","15","test_get_prediction_image_not_found_in_db","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","133","test_get_prediction_by_uid_success","tests","Thu Sep 04 08:09:26 UTC 2025","broken","Thu Sep 04 08:09:26 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","14","test_get_prediction_image_unauthorized","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","20","test_get_invalid_image_type","tests","Thu Sep 04 08:09:23 UTC 2025","passed","Thu Sep 04 08:09:23 UTC 2025","TestGetImage","test_get_image_type","",""
"","25","test_prediction_inference_error","tests","Thu Sep 04 08:09:25 UTC 2025","passed","Thu Sep 04 08:09:25 UTC 2025","Test_Stats","test_prediction","",""
"","19","test_get_image_unauthorized","tests","Thu Sep 04 08:09:23 UTC 2025","passed","Thu Sep 04 08:09:23 UTC 2025","TestGetImage","test_get_image_type","",""
"","136","test_prediction_unauthorized_and_image_no_lable","tests","Thu Sep 04 08:09:25 UTC 2025","failed","Thu Sep 04 08:09:25 UTC 2025","Test_Stats","test_prediction","",""
"Test that the predict endpoint returns processing time","140","test_predict_includes_processing_time","tests","Thu Sep 04 08:09:27 UTC 2025","failed","Thu Sep 04 08:09:27 UTC 2025","TestProcessingTime","test_prediction_time","",""
"","23","test_detete_not_found","tests","Thu Sep 04 08:09:23 UTC 2025","passed","Thu Sep 04 08:09:23 UTC 2025","Test_Delete","test_delete","",""
"","21","test_successful_login","tests","Thu Sep 04 08:09:25 UTC 2025","passed","Thu Sep 04 08:09:25 UTC 2025","TestLogin","test_login","",""
"","146","test_stats_after_prediction","tests","Thu Sep 04 08:09:27 UTC 2025","passed","Thu Sep 04 08:09:27 UTC 2025","Test_Stats","test_stats","",""
"","16","test_get_prediction_image_not_acceptable","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","316","test_delete_prediction","tests","Thu Sep 04 08:09:23 UTC 2025","broken","Thu Sep 04 08:09:23 UTC 2025","Test_Delete","test_delete","",""
"","21","test_missing_username_or_password","tests","Thu Sep 04 08:09:25 UTC 2025","passed","Thu Sep 04 08:09:25 UTC 2025","TestLogin","test_login","",""
"","129","test_prediction_valid_image","tests","Thu Sep 04 08:09:25 UTC 2025","failed","Thu Sep 04 08:09:25 UTC 2025","Test_Stats","test_prediction","",""
"","23","test_prediction_unsupported_format","tests","Thu Sep 04 08:09:25 UTC 2025","passed","Thu Sep 04 08:09:25 UTC 2025","Test_Stats","test_prediction","",""
"","15","test_get_prediction_image_success_jpeg","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","15","test_prediction_count_empty","tests","Thu Sep 04 08:09:26 UTC 2025","passed","Thu Sep 04 08:09:26 UTC 2025","Test_Count","test_prediction_count","",""
"","17","test_stats_empty","tests","Thu Sep 04 08:09:27 UTC 2025","passed","Thu Sep 04 08:09:27 UTC 2025","Test_Stats","test_stats","",""
"","132","test_get_predictions_by_score_valid","tests","Thu Sep 04 08:09:27 UTC 2025","failed","Thu Sep 04 08:09:27 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","25","test_get_predicted_image_success","tests","Thu Sep 04 08:09:24 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetImage","test_get_image_type","",""
"","132","test_get_prediction_by_uid_not_found","tests","Thu Sep 04 08:09:26 UTC 2025","broken","Thu Sep 04 08:09:26 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"Test prediction endpoint using an image from Pixabay.","1033","test_labels_after_prediction","tests","Thu Sep 04 08:09:24 UTC 2025","failed","Thu Sep 04 08:09:25 UTC 2025","Test_labels","test_labels","",""
"","147","test_prediction_count_after_prediction","tests","Thu Sep 04 08:09:26 UTC 2025","passed","Thu Sep 04 08:09:26 UTC 2025","Test_Count","test_prediction_count","",""
"","19","test_get_nonexistent_image","tests","Thu Sep 04 08:09:23 UTC 2025","passed","Thu Sep 04 08:09:24 UTC 2025","TestGetImage","test_get_image_type","",""
